Province/State,Country/Region,Lat,Long,cases
Luxembourg,Luxembourg,49.8153,6.1296,3480
Madagascar,Madagascar,-18.7669,46.8691,117
Malaysia,Malaysia,2.5,112.5,5251
Maldives,Maldives,3.2028,73.2207,28
Malta,Malta,35.9375,14.3754,422
Mauritania,Mauritania,21.0079,10.9408,7
Mauritius,Mauritius,-20.2,57.5,324
Mexico,Mexico,23.6345,-102.5528,6297
Moldova,Moldova,47.4116,28.3699,2264
Monaco,Monaco,43.7333,7.4167,94
Mongolia,Mongolia,46.8625,103.8467,31
Montenegro,Montenegro,42.5,19.3,303
Morocco,Morocco,31.7917,-7.0926,2564
Namibia,Namibia,-22.9576,18.4904,16
Nepal,Nepal,28.1667,84.25,30
Netherlands,Netherlands,12.5186,-70.0358,96
Netherlands,Netherlands,12.1696,-68.99,14
Netherlands,Netherlands,18.0425,-63.0548,57
Netherlands,Netherlands,52.1326,5.2913,30449
New Zealand,New Zealand,-40.9006,174.886,1409
Nicaragua,Nicaragua,12.8654,-85.2072,9
Niger,Niger,17.6078,8.0817,627
Nigeria,Nigeria,9.082,8.6753,493
North Macedonia,North Macedonia,41.6086,21.7453,1117
Norway,Norway,60.472,8.4689,6937
Oman,Oman,21,57,1069
Pakistan,Pakistan,30.3753,69.3451,7025
Panama,Panama,8.538,-80.7821,4016
Papua New Guinea,Papua New Guinea,-6.315,143.9555,7
Paraguay,Paraguay,-23.4425,-58.4438,199
Peru,Peru,-9.19,-75.0152,13489
Philippines,Philippines,13,122,5878
Poland,Poland,51.9194,19.1451,8379
Portugal,Portugal,39.3999,-8.2245,19022
Qatar,Qatar,25.3548,51.1839,4663
Romania,Romania,45.9432,24.9668,8067
Russia,Russia,60,90,32008
Rwanda,Rwanda,-1.9403,29.8739,143
Saint Lucia,Saint Lucia,13.9094,-60.9789,15
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,12
San Marino,San Marino,43.9424,12.4578,435
Saudi Arabia,Saudi Arabia,24,45,7142
Senegal,Senegal,14.4974,-14.4524,342
Serbia,Serbia,44.0165,21.0059,5690
Seychelles,Seychelles,-4.6796,55.492,11
Singapore,Singapore,1.2833,103.8333,5050
Slovakia,Slovakia,48.669,19.699,1049
Slovenia,Slovenia,46.1512,14.9955,1304
Somalia,Somalia,5.1521,46.1996,116
South Africa,South Africa,-30.5595,22.9375,2783
Spain,Spain,40,-4,190839
Sri Lanka,Sri Lanka,7,81,244
Sudan,Sudan,12.8628,30.2176,33
Suriname,Suriname,3.9193,-56.0278,10
Sweden,Sweden,63,16,13216
Switzerland,Switzerland,46.8182,8.2275,27078
Taiwan*,Taiwan*,23.7,121,395
Tanzania,Tanzania,-6.369,34.8888,147
Thailand,Thailand,15,101,2700
Togo,Togo,8.6195,0.8248,83
Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,114
Tunisia,Tunisia,34,9,864
Turkey,Turkey,38.9637,35.2433,78546
Uganda,Uganda,1,32,56
Ukraine,Ukraine,48.3794,31.1656,4662
United Arab Emirates,United Arab Emirates,24,54,6302
United Kingdom,United Kingdom,32.3078,-64.7505,83
United Kingdom,United Kingdom,19.3133,-81.2546,61
United Kingdom,United Kingdom,49.3723,-2.3644,470
United Kingdom,United Kingdom,36.1408,-5.3536,132
United Kingdom,United Kingdom,54.2361,-4.5481,291
United Kingdom,United Kingdom,16.7425,-62.1874,11
United Kingdom,United Kingdom,55.3781,-3.436,108692
Uruguay,Uruguay,-32.5228,-55.7658,502
US,US,37.0902,-95.7129,699706
Uzbekistan,Uzbekistan,41.3775,64.5853,1405
Venezuela,Venezuela,6.4238,-66.5897,204
Vietnam,Vietnam,16,108,268
Zambia,Zambia,-15.4167,28.2833,52
Zimbabwe,Zimbabwe,-20,30,24
Canada,Canada,0,0,1
Dominica,Dominica,15.415,-61.371,16
Grenada,Grenada,12.1165,-61.679,14
Mozambique,Mozambique,-18.665695,35.529562,34
Syria,Syria,34.802075,38.996815,38
Timor-Leste,Timor-Leste,-8.874217,125.727539,18
Belize,Belize,13.1939,-59.5432,18
Canada,Canada,0,0,1
Laos,Laos,19.85627,102.495496,19
Libya,Libya,26.3351,17.228331,49
West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,402
Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,43
Mali,Mali,17.570692,-3.996166,171
Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,14
Canada,Canada,64.8255,-124.8457,5
Canada,Canada,64.2823,-135,8
Kosovo,Kosovo,42.602636,20.902977,480
Burma,Burma,21.9162,95.956,88
United Kingdom,United Kingdom,18.2206,-63.0686,3
United Kingdom,United Kingdom,18.4207,-64.64,4
United Kingdom,United Kingdom,21.694,-71.7979,11
MS Zaandam,MS Zaandam,0,0,9
Botswana,Botswana,-22.3285,24.6849,15
Burundi,Burundi,-3.3731,29.9189,5
Sierra Leone,Sierra Leone,8.460555,-11.779889,26
Netherlands,Netherlands,12.1784,-68.2385,3
Malawi,Malawi,-13.254308,34.301525,17
United Kingdom,United Kingdom,-51.7963,-59.5236,11
France,France,46.8852,-56.3159,1
South Sudan,South Sudan,6.877,31.307,4
Western Sahara,Western Sahara,24.2155,-12.8858,6
Sao Tome and Principe,Sao Tome and Principe,0.18636,6.613081,4
Yemen,Yemen,15.552727,48.516388,1
